seed,family_size,arm,accepted,true_accepts,false_accepts,recall,empirical_fdr
72,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
73,100,Exhaustive-Expanded,3,3,0,1.0,0.0
73,100,Random-25,1,0,1,0.0,1.0
73,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
74,100,Exhaustive-Expanded,3,3,0,1.0,0.0
74,100,Random-25,0,0,0,0.0,0.0
74,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
75,100,Exhaustive-Expanded,3,3,0,1.0,0.0
75,100,Random-25,3,3,0,1.0,0.0
75,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
76,100,Exhaustive-Expanded,3,2,1,0.6666666666666666,0.3333333333333333
76,100,Random-25,1,1,0,0.3333333333333333,0.0
76,100,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
77,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
77,100,Random-25,1,1,0,0.3333333333333333,0.0
77,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
78,100,Exhaustive-Expanded,4,3,1,1.0,0.25
78,100,Random-25,0,0,0,0.0,0.0
78,100,VeraDM-prior,3,2,1,0.6666666666666666,0.3333333333333333
79,100,Exhaustive-Expanded,9,3,6,1.0,0.6666666666666666
79,100,Random-25,0,0,0,0.0,0.0
79,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
80,100,Exhaustive-Expanded,2,2,0,0.6666666666666666,0.0
80,100,Random-25,2,2,0,0.6666666666666666,0.0
80,100,VeraDM-prior,3,3,0,1.0,0.0
81,100,Exhaustive-Expanded,4,3,1,1.0,0.25
81,100,Random-25,0,0,0,0.0,0.0
81,100,VeraDM-prior,3,3,0,1.0,0.0
82,100,Exhaustive-Expanded,3,3,0,1.0,0.0
82,100,Random-25,2,2,0,0.6666666666666666,0.0
82,100,VeraDM-prior,2,2,0,0.6666666666666666,0.0
83,100,Exhaustive-Expanded,3,3,0,1.0,0.0
83,100,Random-25,2,1,1,0.3333333333333333,0.5
83,100,VeraDM-prior,1,1,0,0.3333333333333333,0.0
84,100,Exhaustive-Expanded,3,3,0,1.0,0.0
84,100,Random-25,0,0,0,0.0,0.0
84,100,VeraDM-prior,3,3,0,1.0,0.0
