accepted,achieved_fdr,method,null_accepted,null_proposals,seed
2,0.0,BH,0,10,155
1,0.0,BY,0,10,155
2,0.0,RawP,0,10,156
2,0.0,BH,0,10,156
1,0.0,BY,0,10,156
3,0.3333333333333333,RawP,1,10,157
2,0.0,BH,0,10,157
1,0.0,BY,0,10,157
2,0.0,RawP,0,10,158
2,0.0,BH,0,10,158
1,0.0,BY,0,10,158
2,0.0,RawP,0,10,159
2,0.0,BH,0,10,159
1,0.0,BY,0,10,159
2,0.0,RawP,0,10,160
2,0.0,BH,0,10,160
1,0.0,BY,0,10,160
3,0.3333333333333333,RawP,1,10,161
3,0.3333333333333333,BH,1,10,161
1,0.0,BY,0,10,161
2,0.0,RawP,0,10,162
2,0.0,BH,0,10,162
1,0.0,BY,0,10,162
2,0.0,RawP,0,10,163
2,0.0,BH,0,10,163
1,0.0,BY,0,10,163
3,0.3333333333333333,RawP,1,10,164
3,0.3333333333333333,BH,1,10,164
1,0.0,BY,0,10,164
2,0.0,RawP,0,10,165
2,0.0,BH,0,10,165
1,0.0,BY,0,10,165
2,0.0,RawP,0,10,166
2,0.0,BH,0,10,166
1,0.0,BY,0,10,166
2,0.0,RawP,0,10,167
2,0.0,BH,0,10,167
1,0.0,BY,0,10,167
2,0.0,RawP,0,10,168
2,0.0,BH,0,10,168
1,0.0,BY,0,10,168
2,0.0,RawP,0,10,169
2,0.0,BH,0,10,169
1,0.0,BY,0,10,169
2,0.0,RawP,0,10,170
2,0.0,BH,0,10,170
1,0.0,BY,0,10,170
3,0.3333333333333333,RawP,1,10,171
3,0.3333333333333333,BH,1,10,171
1,0.0,BY,0,10,171
2,0.0,RawP,0,10,172
2,0.0,BH,0,10,172
1,0.0,BY,0,10,172
2,0.0,RawP,0,10,173
2,0.0,BH,0,10,173
1,0.0,BY,0,10,173
2,0.0,RawP,0,10,174
2,0.0,BH,0,10,174
1,0.0,BY,0,10,174
3,0.3333333333333333,RawP,1,10,175
2,0.0,BH,0,10,175
1,0.0,BY,0,10,175
2,0.0,RawP,0,10,176
2,0.0,BH,0,10,176
1,0.0,BY,0,10,176
2,0.0,RawP,0,10,177
2,0.0,BH,0,10,177
1,0.0,BY,0,10,177
2,0.0,RawP,0,10,178
2,0.0,BH,0,10,178
1,0.0,BY,0,10,178
4,0.5,RawP,2,10,179
2,0.0,BH,0,10,179
1,0.0,BY,0,10,179
3,0.3333333333333333,RawP,1,10,180
2,0.0,BH,0,10,180
1,0.0,BY,0,10,180
3,0.3333333333333333,RawP,1,10,181
2,0.0,BH,0,10,181
1,0.0,BY,0,10,181
2,0.0,RawP,0,10,182
2,0.0,BH,0,10,182
1,0.0,BY,0,10,182
3,0.3333333333333333,RawP,1,10,183
2,0.0,BH,0,10,183
1,0.0,BY,0,10,183
2,0.0,RawP,0,10,184
2,0.0,BH,0,10,184
1,0.0,BY,0,10,184
4,0.5,RawP,2,10,185
3,0.3333333333333333,BH,1,10,185
1,0.0,BY,0,10,185
3,0.3333333333333333,RawP,1,10,186
2,0.0,BH,0,10,186
1,0.0,BY,0,10,186
2,0.0,RawP,0,10,187
2,0.0,BH,0,10,187
1,0.0,BY,0,10,187
2,0.0,RawP,0,10,188
2,0.0,BH,0,10,188
1,0.0,BY,0,10,188
2,0.0,RawP,0,10,189
2,0.0,BH,0,10,189
1,0.0,BY,0,10,189
2,0.0,RawP,0,10,190
2,0.0,BH,0,10,190
1,0.0,BY,0,10,190
3,0.3333333333333333,RawP,1,10,191
2,0.0,BH,0,10,191
1,0.0,BY,0,10,191
3,0.3333333333333333,RawP,1,10,192
2,0.0,BH,0,10,192
1,0.0,BY,0,10,192
2,0.0,RawP,0,10,193
2,0.0,BH,0,10,193
1,0.0,BY,0,10,193
2,0.0,RawP,0,10,194
2,0.0,BH,0,10,194
1,0.0,BY,0,10,194
3,0.3333333333333333,RawP,1,10,195
2,0.0,BH,0,10,195
1,0.0,BY,0,10,195
3,0.3333333333333333,RawP,1,10,196
2,0.0,BH,0,10,196
1,0.0,BY,0,10,196
2,0.0,RawP,0,10,197
2,0.0,BH,0,10,197
1,0.0,BY,0,10,197
2,0.0,RawP,0,10,198
2,0.0,BH,0,10,198
1,0.0,BY,0,10,198
2,0.0,RawP,0,10,199
2,0.0,BH,0,10,199
1,0.0,BY,0,10,199
4,0.5,RawP,2,30,0
2,0.0,BH,0,30,0
0,0.0,BY,0,30,0
2,0.0,RawP,0,30,1
2,0.0,BH,0,30,1
0,0.0,BY,0,30,1
5,0.6,RawP,3,30,2
2,0.0,BH,0,30,2
0,0.0,BY,0,30,2
6,0.6666666666666666,RawP,4,30,3
2,0.0,BH,0,30,3
0,0.0,BY,0,30,3
3,0.3333333333333333,RawP,1,30,4
2,0.0,BH,0,30,4
0,0.0,BY,0,30,4
4,0.5,RawP,2,30,5
2,0.0,BH,0,30,5
0,0.0,BY,0,30,5
4,0.5,RawP,2,30,6
2,0.0,BH,0,30,6
0,0.0,BY,0,30,6
3,0.3333333333333333,RawP,1,30,7
2,0.0,BH,0,30,7
0,0.0,BY,0,30,7
2,0.0,RawP,0,30,8
2,0.0,BH,0,30,8
